,Date,Low,High,Close,Open
460,1997-10-09,44.88,48.25,45.0,48.0
459,2006-03-16,36.74,37.39,36.77,37.0
458,2008-03-12,65.64,68.23,66.51,66.77
457,2002-11-08,18.81,19.67,19.51,19.04
456,2007-05-14,60.6,61.74,61.7,61.68
455,2012-11-01,231.34,234.55,232.14,234.23
454,2002-03-22,15.1,15.6,15.53,15.12
453,2000-01-26,64.75,70.0,64.81,68.63
452,2012-03-08,183.8,188.38,187.64,184.17
451,2006-07-03,38.23,38.62,38.61,38.52
450,2018-03-06,1528.0,1542.13,1537.64,1533.2
449,2000-08-10,29.75,31.75,30.44,31.5
448,1998-06-04,41.25,43.94,43.88,42.94
447,2013-11-15,365.55,372.9,369.17,367.63
446,2016-11-30,750.25,768.09,750.57,762.0
445,2006-03-27,35.1391,35.66,35.25,35.44
444,2014-07-28,316.5,324.82,320.41,324.25
443,1999-12-10,104.4,112.0,106.7,111.4
442,2011-05-04,195.37,201.86,199.97,198.25
441,2005-10-06,43.33,44.81,44.01,44.56
440,2000-05-19,52.25,55.75,52.63,54.63
439,2014-11-25,331.28,336.3325,335.04,335.27
438,2012-03-16,182.35,185.68,185.05,183.28
437,2005-06-13,34.65,35.41,34.87,34.67
436,2016-01-20,547.18,578.45,571.77,564.36
435,2002-02-15,13.27,14.04,13.41,14.04
434,2004-01-28,51.62,54.45,51.96,53.74
433,2001-01-10,15.56,17.0,16.5,15.84
432,2005-02-04,35.19,35.98,35.72,35.65
431,2014-11-11,303.646,312.38,312.01,305.94
430,2007-08-31,79.7,80.53,79.91,80.0
429,2005-03-24,32.87,33.88,32.88,33.4
428,2010-03-31,134.48,136.8,135.77,136.0
427,2009-02-10,63.07,67.23,63.31,66.15
426,2013-10-24,326.75,332.6499,332.21,329.63
425,2011-11-22,183.58,194.04,192.34,186.95
424,2016-06-06,724.42,731.5,726.73,726.5
423,2014-04-01,338.0,344.43,342.99,338.09
422,1999-04-28,182.4,202.0,193.5,200.0
421,2016-06-07,720.55,730.0,723.74,729.89
420,2007-07-05,68.06,69.65,68.73,69.36
419,1999-01-21,92.56,110.4,106.0,104.5
418,2006-04-10,36.22,37.28,36.61,37.22
417,2003-08-05,38.63,39.85,38.67,39.24
416,2005-11-30,47.55,48.68,48.46,48.48
415,2001-04-27,15.02,15.73,15.27,15.72
414,2000-02-23,64.69,71.75,70.44,64.88
413,2003-07-02,37.14,37.89,37.85,37.66
412,2016-11-28,764.24,777.0,766.77,776.99
411,2007-02-14,39.14,40.28,40.14,39.23
410,2016-06-28,698.1714,708.0,707.95,700.0
409,2006-05-30,34.44,35.75,34.64,35.73
408,2003-04-25,27.82,29.0,28.97,28.0
407,2013-06-25,269.0,273.47,272.088,272.3
406,2018-06-14,1708.87,1724.8,1723.86,1713.48
405,2008-02-22,69.86,72.21,72.08,70.54
404,2003-08-29,45.72,46.44,46.32,45.82
403,2010-12-10,173.36,175.95,175.62,174.88
402,2011-07-13,212.14,216.83,213.5,214.7
401,2001-09-19,6.64,7.45,7.31,7.45
400,2012-01-12,175.75,179.49,175.93,179.42
399,2016-04-26,614.88,626.7549,616.88,626.17
398,1998-04-28,89.06,99.5,95.63,92.88
397,2004-05-11,41.9,43.04,42.7,41.91
396,1997-08-21,24.88,26.06,25.38,25.63
395,2010-03-09,127.97,130.81,128.82,129.59
394,2017-02-15,832.82,842.81,842.7,834.0
393,2003-05-07,30.03,30.86,30.7,30.66
392,2006-06-30,37.83,38.84,38.68,38.58
391,1997-06-27,17.75,18.19,17.88,18.19
390,2014-07-02,331.66,336.76,332.85,333.2
