,Date,Low,High,Close,Open
1186,2013-09-05,41.77,42.765,42.66,41.79
1185,2013-09-26,49.5,50.6,50.39,50.01
1184,2012-07-26,26.73,28.23,26.845,27.75
1183,2015-06-09,79.32,81.19,80.67,80.6
1182,2016-11-03,119.5,123.28,120.0,122.0
1181,2014-08-06,71.79,73.72,72.47,72.02
1180,2012-11-28,25.75,26.49,26.36,25.94
1179,2017-03-17,139.7,140.34,139.84,140.34
1178,2016-09-02,126.0,126.86,126.51,126.85
1177,2018-07-23,208.8,211.62,210.91,210.58
1176,2017-05-24,148.42,150.23,150.04,148.51
1175,2014-08-19,74.77,75.58,75.29,74.81
1174,2015-10-14,93.61,95.2,94.07,94.08
1173,2015-10-26,101.55,103.81,103.77,102.2
1172,2014-08-26,74.73,75.99,75.9601,75.0
1171,2017-10-06,169.75,172.37,172.23,170.25
1170,2017-12-28,177.68,178.9367,177.92,177.95
1169,2014-05-01,60.21,62.28,61.15,60.43
1168,2015-03-24,84.52,86.0699,85.31,84.71
1167,2013-09-17,42.43,45.44,45.07,42.5
1166,2016-05-12,118.9,120.84,120.28,119.98
1165,2012-10-04,21.41,22.4,21.9475,22.32
1164,2014-06-19,64.21,65.5756,64.3415,65.46
1163,2013-07-29,34.01,35.63,35.43,34.07
1162,2014-12-26,80.51,81.28,80.775,81.02
1161,2015-11-10,105.24,108.15,107.91,105.96
1160,2018-04-25,156.19,161.06,159.69,160.1448
1159,2015-03-12,77.91,79.05,78.93,78.1
1158,2014-03-07,69.47,71.18,69.8,71.08
1157,2017-10-17,174.36,176.13,176.11,174.71
1156,2013-10-30,48.75,50.21,49.01,50.0
1155,2013-07-05,24.2,24.66,24.37,24.65
1154,2013-08-20,37.69,38.58,38.41,38.35
1153,2018-06-05,192.62,195.0,192.94,194.3
1152,2018-01-09,187.1,188.8,187.87,188.7
1151,2013-06-27,24.21,24.84,24.66,24.24
1150,2012-07-23,28.01,29.0,28.75,28.12
1149,2016-04-14,110.26,112.04,110.84,110.62
1148,2012-05-29,28.65,31.69,28.84,31.48
1147,2013-02-05,28.04,28.96,28.64,28.26
1146,2016-03-07,104.72,108.07,105.73,108.07
1145,2015-06-11,81.36,82.9,81.83,82.31
1144,2014-09-15,73.43,77.25,74.58,77.15
1143,2014-03-25,63.78,66.19,64.89,64.89
1142,2013-08-09,38.01,38.74,38.5,38.59
1141,2018-06-08,186.43,189.4754,189.1,187.53
1140,2016-04-28,116.23,120.79,116.73,119.575
1139,2015-04-23,82.41,85.59,82.41,84.1
1138,2018-06-29,193.955,197.5997,194.32,197.32
1137,2017-10-05,168.6,171.31,171.24,169.18
1136,2013-04-29,26.86,27.41,26.98,27.16
1135,2013-04-30,27.005,27.85,27.769,27.13
1134,2017-10-10,170.8,173.2,171.59,173.0
1133,2016-08-04,122.51,124.79,124.36,122.94
1132,2016-11-30,117.95,121.79,118.42,120.32
1131,2012-12-24,26.2,26.96,26.93,26.5
1130,2013-08-07,37.7,38.94,38.87,38.61
1129,2014-06-04,62.07,63.59,63.34,62.45
1128,2017-07-10,151.51,153.98,153.5,151.69
1127,2013-04-23,25.77,26.33,25.98,26.215
1126,2014-04-09,59.1882,62.4558,62.41,59.63
1125,2013-10-03,49.06,50.72,49.183,50.47
1124,2017-10-04,168.29,170.67,168.42,169.83
1123,2012-11-16,22.18,23.93,23.5607,22.25
1122,2016-05-26,117.92,119.7601,119.47,118.24
1121,2014-03-19,67.465,69.29,68.24,69.17
1120,2014-12-09,74.78,76.93,76.84,75.2
1119,2013-01-11,31.1,31.96,31.72,31.28
1118,2016-06-15,114.07,115.44,114.6,115.3
1117,2014-06-30,67.13,67.92,67.29,67.46
1116,2018-04-18,165.77,168.12,166.36,166.88
1115,2017-02-16,133.02,133.87,133.84,133.07
1114,2012-11-20,22.7,23.9,23.1,22.73
1113,2015-02-09,73.45,74.83,74.44,74.05
1112,2016-06-24,111.0,113.68,112.08,111.01
1111,2015-05-29,78.88,80.07,79.19,79.95
1110,2015-12-10,104.41,106.4,105.42,105.05
1109,2013-07-17,26.3,26.78,26.65,26.37
1108,2017-09-14,170.5,172.28,170.96,172.26
1107,2016-05-19,115.88,117.49,116.81,117.05
1106,2012-08-28,18.95,19.38,19.34,19.1
1105,2013-10-15,49.18,51.0,49.5,49.99
1104,2014-09-02,74.82,76.7,76.68,75.01
1103,2016-02-24,102.74,106.95,106.88,104.21
1102,2013-01-30,30.88,31.49,31.24,30.98
1101,2017-06-20,152.21,153.84,152.25,152.88
1100,2015-12-01,104.5,107.15,107.12,104.83
1099,2013-09-06,42.4,44.61,43.95,43.09
1098,2012-08-03,19.9,22.16,21.09,20.36
1097,2016-01-28,104.81,110.34,109.11,107.2
1096,2017-03-16,139.73,140.25,139.99,140.2
1095,2014-06-17,63.93,64.88,64.4,64.1
1094,2017-02-22,133.46,136.79,136.12,133.6
1093,2018-07-06,197.7,203.64,203.23,198.45
1092,2013-09-20,45.74,47.6,47.49,46.32
1091,2015-04-07,82.22,83.42,82.32,82.65
1090,2017-03-27,138.77,140.65,140.32,139.05
1089,2017-12-07,175.8,180.39,180.14,175.8
1088,2014-07-31,72.44,74.165,72.65,74.0
1087,2017-12-05,169.01,175.38,172.83,170.45
1086,2017-06-30,150.06,151.92,150.98,151.9
1085,2013-07-08,24.42,25.04,24.71,24.47
1084,2012-12-06,26.82,27.75,26.97,27.68
1083,2016-11-18,116.84,119.13,117.02,118.39
1082,2016-11-09,120.51,123.81,123.18,121.5
1081,2017-01-24,128.38,129.9,129.37,129.38
1080,2015-02-06,74.25,75.7,74.47,75.68
1079,2013-02-07,28.27,29.15,28.65,29.11
1078,2018-03-16,183.41,185.33,185.09,184.49
1077,2016-08-30,125.15,126.6,125.84,126.6
1076,2016-07-08,115.85,117.5,117.24,116.43
1075,2018-07-17,204.84,210.46,209.99,204.9
1074,2012-06-07,26.15,27.35,26.31,27.0
1073,2013-04-09,26.42,26.89,26.59,26.58
1072,2015-09-10,89.63,92.06,91.98,90.07
1071,2012-08-22,18.96,19.53,19.439,19.36
1070,2017-01-18,126.84,128.43,127.92,128.41
1069,2015-10-13,93.55,95.37,94.12,93.66
1068,2014-10-29,74.78,76.88,75.86,75.45
1067,2013-08-16,36.9,37.49,37.08,36.97
1066,2016-04-01,113.35,116.17,116.06,113.75
1065,2017-12-19,178.22,180.08,179.51,179.95
1064,2018-05-10,182.5,186.1292,185.53,183.15
1063,2016-12-15,119.63,122.5,120.57,120.08
1062,2017-11-22,180.44,181.73,180.87,181.3
1061,2013-06-10,23.99,24.6,24.33,24.06
1060,2017-01-26,131.4401,133.14,132.78,131.63
1059,2015-08-31,88.89,91.05,89.43,90.59
1058,2014-03-03,66.51,68.05,67.41,66.96
1057,2018-02-12,171.84,177.545,176.41,177.06
1056,2013-07-03,24.15,24.71,24.52,24.22
1055,2014-05-21,58.25,60.5,60.49,58.56
1054,2017-03-07,136.99,138.37,137.3,137.03
1053,2016-02-23,105.12,107.47,105.46,106.85
1052,2017-09-21,170.01,172.27,171.11,171.69
1051,2015-03-23,83.3,84.96,84.43,83.92
1050,2014-06-27,66.84,67.7,67.6,67.31
1049,2017-11-06,178.31,180.45,180.17,178.56
1048,2012-11-08,19.98,20.73,19.99,20.52
1047,2018-02-26,183.2228,185.66,184.93,184.58
1046,2014-03-04,67.62,68.9,68.8,68.66
1045,2013-11-12,45.83,47.37,46.605,46.0
1044,2012-12-13,27.43,28.75,28.24,27.59
1043,2015-02-24,78.1,79.48,78.45,78.5
1042,2015-06-05,81.51,82.46,82.14,81.87
1041,2012-12-18,26.9,27.91,27.71,26.96
1040,2013-07-22,25.72,26.13,26.045,25.99
1039,2016-06-29,113.04,114.25,114.16,113.37
1038,2015-03-31,82.21,83.5,82.215,82.9
1037,2015-08-20,90.46,94.77,90.56,93.54
1036,2014-05-29,63.51,64.3,63.83,63.84
1035,2018-06-28,193.26,197.34,196.23,195.18
1034,2015-07-09,85.6499,87.6,85.88,86.73
1033,2017-06-12,144.56,149.2,148.44,148.17
1032,2013-12-03,46.29,47.2,46.73,46.75
1031,2013-11-11,45.73,47.53,46.2,47.04
1030,2015-01-15,73.54,76.57,74.05,76.4
1029,2017-07-31,168.55,172.72,169.25,172.0
1028,2014-01-10,57.06,58.3,57.94,57.13
1027,2014-11-03,73.7,75.52,73.88,75.47
1026,2014-04-29,55.84,58.28,58.15,56.09
1025,2016-03-29,113.64,116.32,116.14,113.83
1024,2014-02-10,63.473,64.49,63.548,64.3
1023,2013-10-09,45.26,47.84,46.77,47.375
1022,2012-06-20,31.15,31.9288,31.6,31.92
1021,2015-05-04,78.6301,79.69,78.81,79.33
1020,2012-07-09,31.99,32.88,32.17,32.1
1019,2015-11-04,102.48,104.14,103.94,103.19
1018,2015-08-21,85.61,89.18,86.06,87.52
1017,2016-11-11,118.15,120.7,119.02,119.53
1016,2015-10-30,101.65,104.72,101.97,104.51
1015,2017-04-26,146.09,147.59,146.56,147.09
1014,2016-09-09,127.1,129.949,127.1,129.71
1013,2012-08-14,20.25,21.6,20.38,21.41
1012,2017-05-18,144.51,148.15,147.66,144.72
1011,2015-06-10,80.81,82.6,82.16,80.83
1010,2013-10-16,49.9,51.24,51.135,50.04
1009,2018-07-10,202.26,204.91,203.54,204.5
1008,2018-05-15,183.2,185.29,184.32,184.88
1007,2015-03-16,77.36,78.12,78.07,77.96
1006,2016-07-28,123.63,128.33,125.0,127.52
1005,2012-11-30,26.76,28.0,28.0,27.26
1004,2016-07-21,120.25,122.1,120.61,121.92
1003,2013-06-05,22.79,23.705,22.899,23.35
1002,2017-05-02,151.66,153.44,152.78,153.34
1001,2016-03-10,105.7699,108.66,107.32,107.91
1000,2013-06-13,23.265,23.83,23.73,23.72
999,2017-05-12,149.63,150.46,150.33,150.4
998,2017-09-27,165.57,168.34,167.68,165.9
997,2015-03-03,78.52,79.7,79.6,79.61
996,2015-11-17,104.14,106.2,105.13,104.62
995,2017-04-24,144.34,145.67,145.47,144.96
994,2012-10-01,21.73,22.59,21.99,22.08
993,2013-12-20,54.23,55.15,55.12,54.93
992,2014-10-28,79.57,81.16,80.77,80.18
991,2014-10-01,75.9,78.82,76.55,78.78
990,2012-12-20,27.13,27.6,27.36,27.49
989,2017-11-01,180.57,182.9,182.66,182.36
988,2016-04-13,106.52,112.65,110.51,112.23
987,2017-12-22,176.23,177.53,177.2,177.14
986,2014-09-30,78.6,79.7067,79.04,79.35
985,2015-05-08,78.03,79.23,78.51,79.1
984,2014-09-16,73.07,76.23,76.08,73.52
983,2018-06-07,186.77,190.97,188.18,190.75
982,2014-01-23,55.6855,56.68,56.63,56.37
981,2014-04-30,57.16,59.85,59.78,57.58
980,2014-12-19,78.33,80.0,79.88,78.75
979,2012-09-04,17.55,18.27,17.729,18.08
978,2018-01-17,175.8,179.32,177.6,179.26
977,2015-11-13,103.83,108.25,103.95,107.71
976,2017-07-17,158.81,160.78,159.73,160.25
975,2018-02-28,178.14,182.88,178.32,182.3
974,2015-11-23,106.08,107.468,106.95,107.19
973,2015-07-15,89.42,90.99,89.76,90.0
972,2017-08-24,166.41,169.29,167.74,168.88
971,2016-02-03,109.75,115.3407,112.69,115.27
970,2013-12-06,47.71,49.39,47.94,48.98
969,2014-12-16,74.59,77.39,74.69,76.19
968,2013-05-01,27.31,27.915,27.43,27.85
967,2016-12-08,117.64,119.5,118.91,117.98
966,2017-07-25,163.86,165.54,165.28,165.01
965,2016-02-10,100.24,103.25,101.0,101.55
964,2012-07-02,30.55,31.73,30.771,31.25
963,2016-11-02,126.28,130.23,127.17,130.23
962,2018-07-18,208.44,210.99,209.36,209.82
961,2015-05-27,79.43,80.66,80.55,79.6
960,2017-08-15,170.01,171.5,171.0,171.49
959,2012-07-19,28.63,29.5,29.0,29.41
958,2012-09-17,21.5,22.75,21.52,22.67
957,2016-05-11,119.42,121.08,119.52,120.41
956,2017-05-22,147.69,148.59,148.24,148.08
955,2014-08-13,73.05,74.25,73.77,73.12
954,2017-05-04,148.72,151.52,150.85,150.17
953,2012-07-05,31.02,31.625,31.47,31.32
952,2014-01-08,57.23,58.41,58.23,57.6
951,2017-11-07,178.96,180.75,180.25,180.5
950,2016-09-06,126.47,129.94,129.73,126.67
949,2014-12-04,74.66,75.55,75.24,74.83
948,2013-12-19,53.95,55.19,55.05,54.33
947,2014-09-05,75.598,77.38,77.26,76.1
946,2013-08-15,36.0201,37.07,36.56,36.36
945,2014-07-17,66.04,67.85,66.4099,67.03
944,2012-10-11,19.61,19.96,19.75,19.88
943,2016-06-01,117.82,119.08,118.78,118.5
942,2016-03-23,112.0,113.19,112.54,112.01
941,2013-12-12,50.66,52.07,51.83,51.045
940,2016-10-12,128.46,129.66,129.05,129.01
939,2016-05-25,117.38,118.665,117.89,118.13
938,2015-07-28,93.31,95.56,95.29,94.84
937,2017-12-26,174.67,177.0,175.99,176.63
936,2016-01-26,95.66,97.88,97.34,97.76
935,2017-09-12,171.75,174.0,172.96,173.76
934,2013-11-19,45.72,47.0,46.36,46.26
933,2012-10-08,20.155,20.75,20.4,20.4
932,2014-04-04,56.32,60.2,56.749,59.94
931,2013-12-17,54.24,55.18,54.86,54.76
930,2014-01-13,55.38,58.25,55.91,57.91
