,Date,Low,High,Close,Open
3214,2017-02-01,139.3,142.41,140.78,141.2
3213,2003-03-25,17.95,19.49,19.25,18.0
3212,2006-12-15,27.4,28.08,27.6,27.4
3211,2003-10-13,44.3,46.85,46.83,44.4
3210,2017-05-18,153.24,156.89,155.7,153.61
3209,2007-12-14,22.53,23.84,23.52,22.96
3208,2011-04-27,225.15,236.61,235.96,228.67
3207,2006-11-24,29.15,29.3701,29.36,29.2
3206,2004-05-07,27.3,28.4,27.34,27.7
3205,2011-09-02,207.62,214.89,213.11,208.71
3204,2014-04-10,334.01,357.48,334.73,354.48
3203,2004-10-04,16.85,17.78,17.25,17.19
3202,2004-04-26,28.56,29.99,28.61,29.52
3201,2010-12-01,197.87,209.24,200.14,207.82
3200,2005-12-28,27.02,27.58,27.2,27.03
3199,2015-11-04,109.39,114.28,114.05,110.36
3198,2016-04-15,109.7803,111.85,111.51,110.64
3197,2010-01-11,52.7,53.93,53.23,53.62
3196,2008-01-11,23.41,24.65,23.41,24.5
3195,2003-02-21,14.46,15.4,14.9,15.4
3194,2017-11-20,191.9,194.32,194.1,193.3
3193,2012-04-26,83.81,87.8399,85.07,85.6
3192,2011-02-11,223.92,231.6,231.07,224.24
3191,2009-01-14,28.78,30.93,29.54,30.54
3190,2003-08-11,23.34,24.93,24.82,23.35
3189,2007-07-19,19.75,20.23,19.94,20.0
3188,2017-08-07,179.1,182.27,181.33,181.0
3187,2013-05-13,217.14,229.69,229.379,217.17
3186,2017-09-25,177.7,186.55,178.55,186.46
3185,2008-06-10,30.44,31.35,30.63,30.75
3184,2010-03-26,73.34,74.91,74.3,73.53
3183,2006-08-16,19.57,20.14,19.77,20.02
3182,2005-06-06,14.4,15.3,15.22,14.55
3181,2013-06-26,210.82,218.25,212.1,214.55
3180,2016-05-13,86.26,88.59,87.88,87.39
3179,2005-01-13,10.74,11.05,10.86,10.95
3178,2013-09-19,304.01,308.745,305.498,308.37
3177,2017-10-27,196.22,200.65,199.54,197.2
3176,2005-05-06,11.4,11.6,11.57,11.45
3175,2004-02-26,30.63,34.12,33.6,30.95
3174,2015-12-14,114.66,120.9,120.67,119.77
3173,2003-02-14,13.26,14.28,14.24,13.33
3172,2011-04-29,231.7,235.47,232.67,232.8
3171,2008-08-19,29.91,30.64,30.11,30.43
3170,2018-04-27,306.5,317.45,311.76,316.25
